ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2,Agent1
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit,New
agrModernCropping_seeds,BajaCalifSouth,2020,fixed,15.15,1,3.03,1,0,1,1.09E+09,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,seeds,1,0
agrTraditionalCropping_plants,BajaCalifSouth,2020,fixed,5.05,1,1.01,1,0,1,8.95E+06,100000,3400000,20,1,0.01,60,0.1,food,diesel,plants,1,0
agrModernCropping_plants,BajaCalifSouth,2020,fixed,15.15,1,3.03,1,0,1,1.15E+07,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,plants,1,0
livestock_meat,BajaCalifSouth,2020,fixed,10.1,1,2.02,1,0,1,5.06E+09,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,livestock,1,0
livestock_milk,BajaCalifSouth,2020,fixed,10.1,1,2.02,1,0,1,9.73E+09,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,milk,1,0
livestock_other,BajaCalifSouth,2020,fixed,10.1,1,2.02,1,0,1,3.85E+08,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,other_agri,1,0
agrTraditionalCropping_fruits,Peninsular,2020,fixed,5.05,1,1.01,1,0,1,7.09E+10,100000,3400000,20,1,0.01,60,0.1,food,diesel,fruits,1,0
agrModernCropping_fruits,Peninsular,2020,fixed,15.15,1,3.03,1,0,1,4.38E+12,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,fruits,1,0
agrTraditionalCropping_vegt,Peninsular,2020,fixed,5.05,1,1.01,1,0,1,1.78E+10,100000,3400000,20,1,0.01,60,0.1,food,diesel,vegt,1,0
agrModernCropping_vegt,Peninsular,2020,fixed,15.15,1,3.03,1,0,1,1.10E+12,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,vegt,1,0
agrTraditionalCropping_seeds,Peninsular,2020,fixed,5.05,1,1.01,1,0,1,5.78E+09,100000,3400000,20,1,0.01,60,0.1,food,diesel,seeds,1,0
agrModernCropping_seeds,Peninsular,2020,fixed,15.15,1,3.03,1,0,1,3.57E+11,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,seeds,1,0
agrTraditionalCropping_plants,Peninsular,2020,fixed,5.05,1,1.01,1,0,1,1.41E+11,100000,3400000,20,1,0.01,60,0.1,food,diesel,plants,1,0
agrModernCropping_plants,Peninsular,2020,fixed,15.15,1,3.03,1,0,1,1.81E+11,100000,603208880.5,30,1,0.01,75,0.1,food,diesel,plants,1,0
livestock_meat,Peninsular,2020,fixed,10.1,1,2.02,1,0,1,2.64E+11,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,livestock,1,0
livestock_milk,Peninsular,2020,fixed,10.1,1,2.02,1,0,1,1.31E+10,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,milk,1,0
livestock_other,Peninsular,2020,fixed,10.1,1,2.02,1,0,1,4.51E+10,100000,430910639.6,25,1,0.01,90,0.1,food,diesel,other_agri,1,0
