ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
lightlorry_hybridpetrol,Eastern,PJ/y,1.30,0.97,0.65,0.32,0.00,0.00,0.00
lightlorry_pluginhybridpetrol,Eastern,PJ/y,1.30,0.97,0.65,0.32,0.00,0.00,0.00
lightlorry_hybriddiesel,Eastern,PJ/y,1.73,1.30,0.87,0.43,0.00,0.00,0.00
lightlorry_pluginhybriddiesel,Eastern,PJ/y,0.87,0.65,0.43,0.22,0.00,0.00,0.00
lightlorry_cng,Eastern,PJ/y,1.73,1.30,0.87,0.43,0.00,0.00,0.00
lightlorry_lpg,Eastern,PJ/y,1.73,1.30,0.87,0.43,0.00,0.00,0.00
heavylorry_diesel,Eastern,PJ/y,13.86,10.39,6.93,3.46,0.00,0.00,0.00
heavylorry_hybriddiesel,Eastern,PJ/y,1.73,1.30,0.87,0.43,0.00,0.00,0.00
heavylorry_hybridhydrogenfc,Eastern,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
heavylorry_cng,Eastern,PJ/y,1.73,1.30,0.87,0.43,0.00,0.00,0.00
heavylorry_petrol,Eastern,PJ/y,13.86,10.39,6.93,3.46,0.00,0.00,0.00
passengertrain_diesel,Eastern,PJ/y,0.47,0.35,0.24,0.12,0.00,0.00,0.00
passengertrain_electric,Eastern,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
passengertrain_hydrogenfc,Eastern,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
passengertrain_addtrackelec,Eastern,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
freighttrain_diesel,Eastern,PJ/y,6.20,4.65,3.10,1.55,0.00,0.00,0.00
freighttrain_electric,Eastern,PJ/y,0.07,0.05,0.03,0.02,0.00,0.00,0.00
freighttrain_hydrogenfc,Eastern,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
freighttrain_addtrackelec,Eastern,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
freighttrain_coal,Eastern,PJ/y,0.00,0.00,0.00,0.00,0.00,0.00,0.00
shipping_heavyoil,Eastern,PJ/y,10.17,7.63,5.08,2.54,0.00,0.00,0.00
passengerjet_kerosene,Eastern,PJ/y,5.90,4.42,2.95,1.47,0.00,0.00,0.00
freightjet_kerosene,Eastern,PJ/y,0.88,0.66,0.44,0.22,0.00,0.00,0.00
cars_petrol,Western,PJ/y,283.26,212.45,141.63,70.82,0.00,0.00,0.00
cars_lpg,Western,PJ/y,1.63,1.22,0.81,0.41,0.00,0.00,0.00
cars_hybridpetrol,Western,PJ/y,6.51,4.88,3.26,1.63,0.00,0.00,0.00
