dst_region,year,asset,region,technology,installed,capacity
Western,2070,94,Western,HYD_LS,2020,50.78650000000
Western,2084,89,Western,CC_GAS,2020,27.57820000000
Western,2084,94,Western,HYD_LS,2020,50.78650000000
Western,2085,89,Western,CC_GAS,2020,27.57820000000
Western,2085,94,Western,HYD_LS,2020,50.78650000000
Western,2089,89,Western,CC_GAS,2020,27.57820000000
Western,2089,94,Western,HYD_LS,2020,50.78650000000
Western,2090,89,Western,CC_GAS,2020,27.57820000000
Western,2090,94,Western,HYD_LS,2020,50.78650000000
Northwest,2025,68,Northwest,CC_GAS,2020,289.92430000000
Northwest,2025,69,Northwest,CC_OIL,2020,0.60550000000
Northwest,2025,70,Northwest,HYD_LS,2020,59.36340000000
Northwest,2025,71,Northwest,OC_GAS,2020,98.89690000000
Northwest,2025,72,Northwest,OC_OIL,2020,40.46700000000
Northwest,2025,73,Northwest,ON_WIND,2020,0.12610000000
Northwest,2025,74,Northwest,PV_GND,2020,77.61890000000
Northwest,2025,75,Northwest,PV_SSG,2020,9.29660000000
Northwest,2030,68,Northwest,CC_GAS,2020,275.60570000000
Northwest,2030,70,Northwest,HYD_LS,2020,38.72620000000
Northwest,2030,72,Northwest,OC_OIL,2020,2.97070000000
Northwest,2030,73,Northwest,ON_WIND,2020,0.12610000000
Northwest,2030,74,Northwest,PV_GND,2020,75.41140000000
Northwest,2030,75,Northwest,PV_SSG,2020,9.29660000000
Northwest,2035,68,Northwest,CC_GAS,2020,241.42070000000
Northwest,2035,70,Northwest,HYD_LS,2020,38.72620000000
Northwest,2035,72,Northwest,OC_OIL,2020,2.32740000000
Northwest,2035,73,Northwest,ON_WIND,2020,0.12610000000
Northwest,2035,74,Northwest,PV_GND,2020,75.41140000000
Northwest,2035,75,Northwest,PV_SSG,2020,9.29660000000
Northwest,2040,68,Northwest,CC_GAS,2020,241.42070000000
Northwest,2040,70,Northwest,HYD_LS,2020,32.92360000000
Northwest,2040,74,Northwest,PV_GND,2020,75.34900000000
Northwest,2040,75,Northwest,PV_SSG,2020,9.29660000000
Northwest,2044,68,Northwest,CC_GAS,2020,212.15530000000
Northwest,2044,70,Northwest,HYD_LS,2020,27.87780000000
Northwest,2044,74,Northwest,PV_GND,2020,32.67550000000
Northwest,2044,75,Northwest,PV_SSG,2020,5.41970000000
Northwest,2045,68,Northwest,CC_GAS,2020,204.83890000000
Northwest,2045,70,Northwest,HYD_LS,2020,26.61640000000
Northwest,2045,74,Northwest,PV_GND,2020,22.00710000000
Northwest,2045,75,Northwest,PV_SSG,2020,4.45040000000
Northwest,2049,68,Northwest,CC_GAS,2020,45.35760000000
Northwest,2049,70,Northwest,HYD_LS,2020,5.32330000000
Northwest,2049,74,Northwest,PV_GND,2020,4.40140000000
Northwest,2049,75,Northwest,PV_SSG,2020,0.89010000000
Northwest,2050,68,Northwest,CC_GAS,2020,5.48730000000
Northwest,2054,68,Northwest,CC_GAS,2020,5.48730000000
Northwest,2055,68,Northwest,CC_GAS,2020,5.48730000000
Northwest,2059,68,Northwest,CC_GAS,2020,5.48730000000
Northwest,2060,68,Northwest,CC_GAS,2020,5.48730000000
Northwest,2064,68,Northwest,CC_GAS,2020,5.48730000000
Northwest,2065,68,Northwest,CC_GAS,2020,5.48730000000
Northwest,2069,68,Northwest,CC_GAS,2020,5.48730000000
Northwest,2070,68,Northwest,CC_GAS,2020,5.48730000000
Northwest,2084,68,Northwest,CC_GAS,2020,5.48730000000
Northwest,2085,68,Northwest,CC_GAS,2020,5.48730000000
Northwest,2089,68,Northwest,CC_GAS,2020,5.48730000000
Northwest,2090,68,Northwest,CC_GAS,2020,5.48730000000
North,2025,43,North,BIO,2020,0.71590000000
North,2025,44,North,CC_GAS,2020,298.92530000000
North,2025,45,North,COAL,2020,4.09970000000
North,2025,49,North,HYD_LS,2020,3.01040000000
North,2025,51,North,OC_GAS,2020,15.01620000000
North,2025,52,North,OC_OIL,2020,46.78370000000
North,2025,53,North,PV_GND,2020,58.33280000000
North,2025,54,North,PV_SSG,2020,11.45270000000
North,2030,43,North,BIO,2020,0.71590000000
North,2030,44,North,CC_GAS,2020,230.96150000000
North,2030,45,North,COAL,2020,4.09970000000
North,2030,49,North,HYD_LS,2020,1.24440000000
North,2030,51,North,OC_GAS,2020,9.71810000000
North,2030,52,North,OC_OIL,2020,2.72160000000
North,2030,53,North,PV_GND,2020,47.42130000000
North,2030,54,North,PV_SSG,2020,11.45270000000
North,2035,43,North,BIO,2020,0.71590000000
North,2035,44,North,CC_GAS,2020,174.38340000000
North,2035,45,North,COAL,2020,4.09970000000
North,2035,49,North,HYD_LS,2020,1.24440000000
North,2035,51,North,OC_GAS,2020,9.71810000000
North,2035,52,North,OC_OIL,2020,0.23020000000
North,2035,53,North,PV_GND,2020,47.42130000000
North,2035,54,North,PV_SSG,2020,11.45270000000
North,2040,43,North,BIO,2020,0.21130000000
North,2040,44,North,CC_GAS,2020,141.97630000000
North,2040,45,North,COAL,2020,4.09970000000
North,2040,49,North,HYD_LS,2020,1.24440000000
North,2040,51,North,OC_GAS,2020,8.14640000000
North,2040,53,North,PV_GND,2020,47.42130000000
North,2040,54,North,PV_SSG,2020,11.45270000000
North,2044,43,North,BIO,2020,0.04230000000
North,2044,44,North,CC_GAS,2020,77.33360000000
North,2044,45,North,COAL,2020,4.09970000000
North,2044,49,North,HYD_LS,2020,1.24440000000
North,2044,51,North,OC_GAS,2020,1.62930000000
North,2044,53,North,PV_GND,2020,14.15160000000
North,2044,54,North,PV_SSG,2020,6.10650000000
North,2045,44,North,CC_GAS,2020,61.17290000000
North,2045,45,North,COAL,2020,4.09970000000
North,2045,49,North,HYD_LS,2020,1.24440000000
North,2045,53,North,PV_GND,2020,5.83420000000
North,2045,54,North,PV_SSG,2020,4.77000000000
North,2049,44,North,CC_GAS,2020,61.17290000000
North,2049,45,North,COAL,2020,0.81990000000
North,2049,49,North,HYD_LS,2020,1.24440000000
North,2049,53,North,PV_GND,2020,1.16680000000
North,2049,54,North,PV_SSG,2020,0.95400000000
North,2050,44,North,CC_GAS,2020,61.17290000000
North,2050,49,North,HYD_LS,2020,1.24440000000
North,2054,44,North,CC_GAS,2020,47.57890000000
North,2054,49,North,HYD_LS,2020,0.96790000000
North,2055,44,North,CC_GAS,2020,44.18040000000
North,2055,49,North,HYD_LS,2020,0.89870000000
North,2059,44,North,CC_GAS,2020,30.58650000000
North,2059,49,North,HYD_LS,2020,0.62220000000
North,2060,44,North,CC_GAS,2020,30.58650000000
North,2060,49,North,HYD_LS,2020,0.62220000000
North,2064,44,North,CC_GAS,2020,30.58650000000
North,2064,49,North,HYD_LS,2020,0.62220000000
North,2065,44,North,CC_GAS,2020,30.58650000000
North,2065,49,North,HYD_LS,2020,0.62220000000
North,2069,44,North,CC_GAS,2020,30.58650000000
North,2069,49,North,HYD_LS,2020,0.62220000000
North,2070,44,North,CC_GAS,2020,30.58650000000
North,2070,49,North,HYD_LS,2020,0.62220000000
North,2084,44,North,CC_GAS,2020,30.58650000000
North,2084,49,North,HYD_LS,2020,0.62220000000
North,2085,44,North,CC_GAS,2020,30.58650000000
North,2085,49,North,HYD_LS,2020,0.62220000000
North,2089,44,North,CC_GAS,2020,30.58650000000
North,2089,49,North,HYD_LS,2020,0.62220000000
North,2090,44,North,CC_GAS,2020,30.58650000000
North,2090,49,North,HYD_LS,2020,0.62220000000
Northeast,2025,55,Northeast,BIO,2020,5.33840000000
Northeast,2025,56,Northeast,CC_GAS,2020,788.94370000000
Northeast,2025,58,Northeast,COAL,2020,171.55580000000
Northeast,2025,61,Northeast,HYD_LS,2020,6.14950000000
Northeast,2025,63,Northeast,OC_GAS,2020,134.43100000000
Northeast,2025,64,Northeast,OC_OIL,2020,7.88720000000
Northeast,2025,65,Northeast,ON_WIND,2020,168.91940000000
Northeast,2025,66,Northeast,PV_GND,2020,54.97730000000
Northeast,2025,67,Northeast,PV_SSG,2020,20.95430000000
Northeast,2030,55,Northeast,BIO,2020,3.05770000000
Northeast,2030,56,Northeast,CC_GAS,2020,666.29580000000
Northeast,2030,58,Northeast,COAL,2020,88.30080000000
Northeast,2030,61,Northeast,HYD_LS,2020,4.16280000000
Northeast,2030,63,Northeast,OC_GAS,2020,91.78810000000
Northeast,2030,64,Northeast,OC_OIL,2020,3.08360000000
Northeast,2030,65,Northeast,ON_WIND,2020,151.95310000000
Northeast,2030,66,Northeast,PV_GND,2020,53.09020000000
Northeast,2030,67,Northeast,PV_SSG,2020,20.95430000000
Northeast,2035,55,Northeast,BIO,2020,3.05770000000
Northeast,2035,56,Northeast,CC_GAS,2020,380.76440000000
Northeast,2035,61,Northeast,HYD_LS,2020,4.16280000000
Northeast,2035,63,Northeast,OC_GAS,2020,71.69900000000
Northeast,2035,64,Northeast,OC_OIL,2020,1.42860000000
Northeast,2035,65,Northeast,ON_WIND,2020,151.95310000000
Northeast,2035,66,Northeast,PV_GND,2020,53.09020000000
Northeast,2035,67,Northeast,PV_SSG,2020,20.95430000000
Northeast,2040,55,Northeast,BIO,2020,0.05420000000
Northeast,2040,56,Northeast,CC_GAS,2020,275.96210000000
Northeast,2040,63,Northeast,OC_GAS,2020,65.87810000000
Northeast,2040,65,Northeast,ON_WIND,2020,147.15960000000
Northeast,2040,66,Northeast,PV_GND,2020,53.09020000000
Northeast,2040,67,Northeast,PV_SSG,2020,20.95430000000
Northeast,2044,55,Northeast,BIO,2020,0.01080000000
Northeast,2044,56,Northeast,CC_GAS,2020,275.96210000000
Northeast,2044,63,Northeast,OC_GAS,2020,51.92710000000
Northeast,2044,65,Northeast,ON_WIND,2020,34.26070000000
Northeast,2044,66,Northeast,PV_GND,2020,14.79900000000
Northeast,2044,67,Northeast,PV_SSG,2020,10.38200000000
Northeast,2045,56,Northeast,CC_GAS,2020,275.96210000000
Northeast,2045,63,Northeast,OC_GAS,2020,48.43930000000
Northeast,2045,65,Northeast,ON_WIND,2020,6.03600000000
Northeast,2045,66,Northeast,PV_GND,2020,5.22610000000
Northeast,2045,67,Northeast,PV_SSG,2020,7.73890000000
Northeast,2049,56,Northeast,CC_GAS,2020,55.19240000000
Northeast,2049,63,Northeast,OC_GAS,2020,9.68790000000
Northeast,2049,65,Northeast,ON_WIND,2020,1.20720000000
Northeast,2049,66,Northeast,PV_GND,2020,1.04520000000
Northeast,2049,67,Northeast,PV_SSG,2020,1.54780000000
BajaCalif,2025,0,BajaCalif,CC_GAS,2020,236.08040000000
BajaCalif,2025,2,BajaCalif,GEOTH,2020,36.25690000000
BajaCalif,2025,3,BajaCalif,OC_GAS,2020,38.57290000000
BajaCalif,2025,5,BajaCalif,OC_OIL,2020,6.44970000000
BajaCalif,2025,6,BajaCalif,ON_WIND,2020,12.36210000000
BajaCalif,2025,8,BajaCalif,PV_GND,2020,2.87990000000
BajaCalif,2025,9,BajaCalif,PV_SSG,2020,4.22580000000
BajaCalif,2030,0,BajaCalif,CC_GAS,2020,167.14270000000
BajaCalif,2030,3,BajaCalif,OC_GAS,2020,16.81310000000
BajaCalif,2030,5,BajaCalif,OC_OIL,2020,0.80920000000
BajaCalif,2030,6,BajaCalif,ON_WIND,2020,12.36210000000
BajaCalif,2030,8,BajaCalif,PV_GND,2020,0.06560000000
BajaCalif,2030,9,BajaCalif,PV_SSG,2020,4.22580000000
BajaCalif,2035,0,BajaCalif,CC_GAS,2020,51.55570000000
BajaCalif,2035,3,BajaCalif,OC_GAS,2020,16.81310000000
BajaCalif,2035,5,BajaCalif,OC_OIL,2020,0.21000000000
BajaCalif,2035,6,BajaCalif,ON_WIND,2020,11.73140000000
BajaCalif,2035,8,BajaCalif,PV_GND,2020,0.06560000000
BajaCalif,2035,9,BajaCalif,PV_SSG,2020,4.22580000000
BajaCalif,2040,0,BajaCalif,CC_GAS,2020,47.28570000000
BajaCalif,2040,3,BajaCalif,OC_GAS,2020,16.81310000000
BajaCalif,2040,6,BajaCalif,ON_WIND,2020,11.73140000000
BajaCalif,2040,9,BajaCalif,PV_SSG,2020,4.22580000000
BajaCalif,2044,0,BajaCalif,CC_GAS,2020,43.24910000000
BajaCalif,2044,3,BajaCalif,OC_GAS,2020,6.93500000000
BajaCalif,2044,6,BajaCalif,ON_WIND,2020,2.34630000000
BajaCalif,2044,9,BajaCalif,PV_SSG,2020,2.16650000000
BajaCalif,2045,0,BajaCalif,CC_GAS,2020,42.23990000000
BajaCalif,2045,3,BajaCalif,OC_GAS,2020,4.46550000000
BajaCalif,2045,9,BajaCalif,PV_SSG,2020,1.65170000000
BajaCalif,2049,0,BajaCalif,CC_GAS,2020,8.44800000000
BajaCalif,2049,3,BajaCalif,OC_GAS,2020,0.89310000000
BajaCalif,2049,9,BajaCalif,PV_SSG,2020,0.33030000000
BajaCalifSouth,2025,10,BajaCalifSouth,CC_OIL,2020,36.61270000000
BajaCalifSouth,2025,11,BajaCalifSouth,GEOTH,2020,0.63070000000
BajaCalifSouth,2025,12,BajaCalifSouth,OC_GAS,2020,2.90130000000
BajaCalifSouth,2025,14,BajaCalifSouth,OC_OIL,2020,60.64180000000
BajaCalifSouth,2025,17,BajaCalifSouth,PV_GND,2020,3.53010000000
BajaCalifSouth,2025,18,BajaCalifSouth,PV_SSG,2020,1.07200000000
BajaCalifSouth,2030,11,BajaCalifSouth,GEOTH,2020,0.63070000000
BajaCalifSouth,2030,12,BajaCalifSouth,OC_GAS,2020,2.90130000000
BajaCalifSouth,2030,14,BajaCalifSouth,OC_OIL,2020,35.56060000000
BajaCalifSouth,2030,17,BajaCalifSouth,PV_GND,2020,3.53010000000
BajaCalifSouth,2030,18,BajaCalifSouth,PV_SSG,2020,1.07200000000
BajaCalifSouth,2035,12,BajaCalifSouth,OC_GAS,2020,2.90130000000
BajaCalifSouth,2035,14,BajaCalifSouth,OC_OIL,2020,9.92440000000
BajaCalifSouth,2035,17,BajaCalifSouth,PV_GND,2020,3.53010000000
BajaCalifSouth,2035,18,BajaCalifSouth,PV_SSG,2020,1.07200000000
BajaCalifSouth,2040,12,BajaCalifSouth,OC_GAS,2020,2.90130000000
BajaCalifSouth,2040,14,BajaCalifSouth,OC_OIL,2020,1.26140000000
BajaCalifSouth,2040,17,BajaCalifSouth,PV_GND,2020,1.57680000000
BajaCalifSouth,2040,18,BajaCalifSouth,PV_SSG,2020,1.07200000000
