ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050,2055
resElectricNightStorage,Central,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA_storage,Central,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA,Central,PJ/y,0,0,0,0,0,0,0,0
resCHPNG,Central,PJ/y,0.93131966,0.614670976,0.307335488,0.093131966,0,0,0,0
resCHPBiomass,Central,PJ/y,0.133045666,0.087810139,0.04390507,0.013304567,0,0,0,0
resMicroCHPNG,Central,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPBiomass,Central,PJ/y,0,0,0,0,0,0,0,0
resBoilerHydrogen,Central,PJ/y,0,0,0,0,0,0,0,0
resBoilerHydrogen_solarT,Central,PJ/y,0,0,0,0,0,0,0,0
resBoilerLPG,Central,PJ/y,0.532182663,0.351240558,0.175620279,0.053218266,0,0,0,0
resCHPFuelCellHdg,Central,PJ/y,0,0,0,0,0,0,0,0
resCHPHydrogen,Central,PJ/y,0,0,0,0,0,0,0,0
resCookingHydrogen,Central,PJ/y,0,0,0,0,0,0,0,0
resCookingLPG,Central,PJ/y,0.029468104,0.019448948,0.009724474,0.00294681,0,0,0,0
resMicroCHPHydrogen,Central,PJ/y,0,0,0,0,0,0,0,0
resLightingEnergySaving,Eastern,PJ/y,35.50154592,23.4310203,11.71551015,3.550154592,0,0,0,0
resLightingCon,Eastern,PJ/y,13.52439844,8.926102973,4.463051487,1.352439844,0,0,0,0
resLightingLED,Eastern,PJ/y,35.50154592,23.4310203,11.71551015,3.550154592,0,0,0,0
resAppliancesCon,Eastern,PJ/y,39.00650234,25.74429154,12.87214577,3.900650234,0,0,0,0
resAppliancesAdv,Eastern,PJ/y,0,0,0,0,0,0,0,0
resCookingElec,Eastern,PJ/y,0.178796201,0.118005493,0.059002746,0.01787962,0,0,0,0
resCookingNG,Eastern,PJ/y,0.000595987,0.000393352,0.000196676,5.96E-05,0,0,0,0
resCookingBiomass,Eastern,PJ/y,29.32257703,19.35290084,9.676450419,2.932257703,0,0,0,0
resCookingKerosene,Eastern,PJ/y,0.208595568,0.137673075,0.068836538,0.020859557,0,0,0,0
resCookingCoal,Eastern,PJ/y,0,0,0,0,0,0,0,0
resAC,Eastern,PJ/y,2.842867723,1.876292697,0.938146349,0.284286772,0,0,0,0
resBoilerNG,Eastern,PJ/y,8.199656334,5.411773181,2.70588659,0.819965633,0,0,0,0
resBoilerElectric,Eastern,PJ/y,0.745423303,0.49197938,0.24598969,0.07454233,0,0,0,0
resBoilerBiomass,Eastern,PJ/y,1.242372172,0.819965633,0.409982817,0.124237217,0,0,0,0
resBoilerNG_solarT,Eastern,PJ/y,0,0,0,0,0,0,0,0
resBoilerElectriciy_solarT,Eastern,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass_solarT,Eastern,PJ/y,0,0,0,0,0,0,0,0
resASHeatPump,Eastern,PJ/y,0.621186086,0.409982817,0.204991408,0.062118609,0,0,0,0
resGSHeatPump,Eastern,PJ/y,0.173932104,0.114795189,0.057397594,0.01739321,0,0,0,0
resASHeatPump_solarT,Eastern,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump_solarT,Eastern,PJ/y,0,0,0,0,0,0,0,0
resElectricNightStorage,Eastern,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA_storage,Eastern,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA,Eastern,PJ/y,0,0,0,0,0,0,0,0
resCHPNG,Eastern,PJ/y,0.86966052,0.573975943,0.286987972,0.086966052,0,0,0,0
resCHPBiomass,Eastern,PJ/y,0.124237217,0.081996563,0.040998282,0.012423722,0,0,0,0
resMicroCHPNG,Eastern,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPBiomass,Eastern,PJ/y,0,0,0,0,0,0,0,0
resBoilerHydrogen,Eastern,PJ/y,0,0,0,0,0,0,0,0
resBoilerHydrogen_solarT,Eastern,PJ/y,0,0,0,0,0,0,0,0
resBoilerLPG,Eastern,PJ/y,0.496948869,0.327986253,0.163993127,0.049694887,0,0,0,0
resCHPFuelCellHdg,Eastern,PJ/y,0,0,0,0,0,0,0,0
resCHPHydrogen,Eastern,PJ/y,0,0,0,0,0,0,0,0
resCookingHydrogen,Eastern,PJ/y,0,0,0,0,0,0,0,0
resCookingLPG,Eastern,PJ/y,0.029799367,0.019667582,0.009833791,0.002979937,0,0,0,0
resMicroCHPHydrogen,Eastern,PJ/y,0,0,0,0,0,0,0,0
resLightingEnergySaving,North,PJ/y,6.26118261,4.132380523,2.066190261,0.626118261,0,0,0,0
resLightingCon,North,PJ/y,2.385212423,1.574240199,0.7871201,0.238521242,0,0,0,0
resLightingLED,North,PJ/y,6.26118261,4.132380523,2.066190261,0.626118261,0,0,0,0
resAppliancesCon,North,PJ/y,6.879329556,4.540357507,2.270178754,0.687932956,0,0,0,0
resAppliancesAdv,North,PJ/y,0,0,0,0,0,0,0,0
resCookingElec,North,PJ/y,0.031533153,0.020811881,0.01040594,0.003153315,0,0,0,0
resCookingNG,North,PJ/y,0.000105111,6.94E-05,3.47E-05,1.05E-05,0,0,0,0
resCookingBiomass,North,PJ/y,5.171437036,3.413148444,1.706574222,0.517143704,0,0,0,0
resCookingKerosene,North,PJ/y,0.036788678,0.024280528,0.012140264,0.003678868,0,0,0,0
resCookingCoal,North,PJ/y,0,0,0,0,0,0,0,0
resAC,North,PJ/y,7.236390569,4.776017775,2.388008888,0.723639057,0,0,0,0
resBoilerNG,North,PJ/y,2.914080295,1.923292995,0.961646497,0.291408029,0,0,0,0
resBoilerElectric,North,PJ/y,0.26491639,0.174844818,0.087422409,0.026491639,0,0,0,0
resBoilerBiomass,North,PJ/y,0.441527317,0.291408029,0.145704015,0.044152732,0,0,0,0
resBoilerNG_solarT,North,PJ/y,0,0,0,0,0,0,0,0
resBoilerElectriciy_solarT,North,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass_solarT,North,PJ/y,0,0,0,0,0,0,0,0
resASHeatPump,North,PJ/y,0.220763659,0.145704015,0.072852007,0.022076366,0,0,0,0
resGSHeatPump,North,PJ/y,0.061813824,0.040797124,0.020398562,0.006181382,0,0,0,0
resASHeatPump_solarT,North,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump_solarT,North,PJ/y,0,0,0,0,0,0,0,0
resElectricNightStorage,North,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA_storage,North,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA,North,PJ/y,0,0,0,0,0,0,0,0
resCHPNG,North,PJ/y,0.309069122,0.203985621,0.10199281,0.030906912,0,0,0,0
resCHPBiomass,North,PJ/y,0.044152732,0.029140803,0.014570401,0.004415273,0,0,0,0
resMicroCHPNG,North,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPBiomass,North,PJ/y,0,0,0,0,0,0,0,0
resBoilerHydrogen,North,PJ/y,0,0,0,0,0,0,0,0
resBoilerHydrogen_solarT,North,PJ/y,0,0,0,0,0,0,0,0
resBoilerLPG,North,PJ/y,0.176610927,0.116563212,0.058281606,0.017661093,0,0,0,0
resCHPFuelCellHdg,North,PJ/y,0,0,0,0,0,0,0,0
resCHPHydrogen,North,PJ/y,0,0,0,0,0,0,0,0
resCookingHydrogen,North,PJ/y,0,0,0,0,0,0,0,0
resCookingLPG,North,PJ/y,0.005255525,0.003468647,0.001734323,0.000525553,0,0,0,0
resMicroCHPHydrogen,North,PJ/y,0,0,0,0,0,0,0,0
resLightingEnergySaving,Northeast,PJ/y,13.99362861,9.235794882,4.617897441,1.399362861,0,0,0,0
resLightingCon,Northeast,PJ/y,5.330906137,3.51839805,1.759199025,0.533090614,0,0,0,0
resLightingLED,Northeast,PJ/y,13.99362861,9.235794882,4.617897441,1.399362861,0,0,0,0
resAppliancesCon,Northeast,PJ/y,15.37517573,10.14761598,5.07380799,1.537517573,0,0,0,0
resAppliancesAdv,Northeast,PJ/y,0,0,0,0,0,0,0,0
resCookingElec,Northeast,PJ/y,0.070476019,0.046514173,0.023257086,0.007047602,0,0,0,0
resCookingNG,Northeast,PJ/y,0.00023492,0.000155047,7.75E-05,2.35E-05,0,0,0,0
resCookingBiomass,Northeast,PJ/y,11.55806718,7.628324341,3.81416217,1.155806718,0,0,0,0
resCookingKerosene,Northeast,PJ/y,0.082222023,0.054266535,0.027133267,0.008222202,0,0,0,0
resCookingCoal,Northeast,PJ/y,0,0,0,0,0,0,0,0
resAC,Northeast,PJ/y,7.236390569,4.776017775,2.388008888,0.723639057,0,0,0,0
resBoilerNG,Northeast,PJ/y,4.689077383,3.094791073,1.547395536,0.468907738,0,0,0,0
resBoilerElectric,Northeast,PJ/y,0.426279762,0.281344643,0.140672321,0.042627976,0,0,0,0
resBoilerBiomass,Northeast,PJ/y,0.71046627,0.468907738,0.234453869,0.071046627,0,0,0,0
resBoilerNG_solarT,Northeast,PJ/y,0,0,0,0,0,0,0,0
resBoilerElectriciy_solarT,Northeast,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass_solarT,Northeast,PJ/y,0,0,0,0,0,0,0,0
resASHeatPump,Northeast,PJ/y,0.355233135,0.234453869,0.117226935,0.035523314,0,0,0,0
