ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050,2055
resAppliancesCon,North,PJ/y,830,622.5,466.875,350.15625,0.1,0.1,0.1,0.1
resAC,North,PJ/y,873,654.75,491.0625,368.296875,0.1,0.1,0.1,0.1
resASHeatPump,Northeast,PJ/y,0,0,0,0,0,0,0,0
resASHeatPump_solarT,Northeast,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass,Northeast,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass_solarT,Northeast,PJ/y,0,0,0,0,0,0,0,0
resBoilerElectriciy_solarT,Northeast,PJ/y,0,0,0,0,0,0,0,0
resBoilerNG,Northeast,PJ/y,0,0,0,0,0,0,0,0
resBoilerNG_solarT,Northeast,PJ/y,0,0,0,0,0,0,0,0
resCHPBiomass,Northeast,PJ/y,0,0,0,0,0,0,0,0
resCHPNG,Northeast,PJ/y,0,0,0,0,0,0,0,0
resCookingBiomass,Northeast,PJ/y,0,0,0,0,0,0,0,0
resCookingCoal,Northeast,PJ/y,0,0,0,0,0,0,0,0
resCookingKerosene,Northeast,PJ/y,0,0,0,0,0,0,0,0
resCookingNG,Northeast,PJ/y,0,0,0,0,0,0,0,0
resDHBiomass,Northeast,PJ/y,0,0,0,0,0,0,0,0
resDHHeatPump,Northeast,PJ/y,0,0,0,0,0,0,0,0
resDHNG,Northeast,PJ/y,0,0,0,0,0,0,0,0
resDHSolarWater,Northeast,PJ/y,0,0,0,0,0,0,0,0
resDHThermalStorage,Northeast,PJ/y,0,0,0,0,0,0,0,0
resDHWasteHeatOfftake,Northeast,PJ/y,0,0,0,0,0,0,0,0
resElectricNightStorage,Northeast,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA,Northeast,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA_storage,Northeast,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump,Northeast,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump_solarT,Northeast,PJ/y,0,0,0,0,0,0,0,0
resHWaterBiomass,Northeast,PJ/y,0,0,0,0,0,0,0,0
resHWaterNG,Northeast,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPBiomass,Northeast,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPNG,Northeast,PJ/y,0,0,0,0,0,0,0,0
resNGSA,Northeast,PJ/y,0,0,0,0,0,0,0,0
resAppliancesAdv,Northeast,PJ/y,0,0,0,0,0,0,0,0
resLightingCon,Northeast,PJ/y,289,216.75,162.5625,121.921875,0.1,0.1,0.1,0.1
resHWaterElec,Northeast,PJ/y,533,399.75,299.8125,224.859375,0.1,0.1,0.1,0.1
resBoilerElectric,Northeast,PJ/y,587,440.25,330.1875,247.640625,0.1,0.1,0.1,0.1
resLightingEnergySaving,Northeast,PJ/y,873,654.75,491.0625,368.296875,0.1,0.1,0.1,0.1
resCookingElec,Northeast,PJ/y,1399,1049.25,786.9375,590.203125,0.1,0.1,0.1,0.1
resLightingLED,Northeast,PJ/y,1417,1062.75,797.0625,597.796875,0.1,0.1,0.1,0.1
resAppliancesCon,Northeast,PJ/y,1689,1266.75,950.0625,712.546875,0.1,0.1,0.1,0.1
resAC,Northeast,PJ/y,1855,1391.25,1043.4375,782.578125,0.1,0.1,0.1,0.1
resASHeatPump,Northwest,PJ/y,0,0,0,0,0,0,0,0
resASHeatPump_solarT,Northwest,PJ/y,0,0,0,0,0,0,0,0
resBoilerBiomass,Northwest,PJ/y,0,0,0,0,0,0,0,0
