ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2,Agent1
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit,New
procNonmetminDry_LPG_CCS,Eastern,2020,fixed,16400.2648,1,28.81264,1,0,1,300,0.3,2701.68,30,0.9,0.1,1,0.1,energy,lp_gas,cement,1,0
procNonmetminDry_NG,Eastern,2020,fixed,11081.26,1,19.468,1,0,1,300,0.3,2701.68,30,0.9,0.1,1,0.1,energy,gas,cement,1,0
procNonmetminDry_NG_CCS,Eastern,2020,fixed,16400.2648,1,28.81264,1,0,1,300,0.3,2701.68,30,0.9,0.1,1,0.1,energy,gas,cement,1,0
procPulppChem_Biogas,Eastern,2020,fixed,35817.12,1,79.969,1,0,1,300,0.45,2701.68,20,0.9,0.1,1,0.1,energy,biogas,paper,1,0
procPulppChem_Biogas_CCS,Eastern,2020,fixed,53009.3376,1,118.35412,1,0,1,300,0.45,2701.68,20,0.9,0.1,1,0.1,energy,biogas,paper,1,0
procPulppChem_ForRes,Eastern,2020,fixed,35817.12,1,79.969,1,0,1,300,0.45,2701.68,20,0.9,0.1,1,0.1,energy,biomass,paper,1,0
procPulppChem_ForRes_CCS,Eastern,2020,fixed,53009.3376,1,118.35412,1,0,1,300,0.45,2701.68,20,0.9,0.1,1,0.1,energy,biomass,paper,1,0
procPulppChem_Hardcoal,Eastern,2020,fixed,35817.12,1,79.969,1,0,1,300,0.45,2701.68,20,0.9,0.1,1,0.1,energy,coal,paper,1,0
procPulppChem_HFO,Eastern,2020,fixed,35817.12,1,79.969,1,0,1,300,0.45,2701.68,20,0.9,0.1,1,0.1,energy,fuel_oil,paper,1,0
procPulppChem_HFO_CCS,Eastern,2020,fixed,53009.3376,1,118.35412,1,0,1,300,0.45,2701.68,20,0.9,0.1,1,0.1,energy,fuel_oil,paper,1,0
procPulppChem_LPG,Eastern,2020,fixed,35817.12,1,79.969,1,0,1,300,0.45,2701.68,20,0.9,0.1,1,0.1,energy,lp_gas,paper,1,0
procPulppChem_LPG_CCS,Eastern,2020,fixed,53009.3376,1,118.35412,1,0,1,300,0.45,2701.68,20,0.9,0.1,1,0.1,energy,lp_gas,paper,1,0
procPulppChem_NG,Eastern,2020,fixed,35817.12,1,79.969,1,0,1,300,0.45,2701.68,20,0.9,0.1,1,0.1,energy,gas,paper,1,0
procPulppChem_NG_CCS,Eastern,2020,fixed,53009.3376,1,118.35412,1,0,1,300,0.45,2701.68,20,0.9,0.1,1,0.1,energy,gas,paper,1,0
procGlass,Eastern,2020,fixed,10145.263,1,22.76,1,0,1,300,0.98,2701.68,15,0.9,0.1,1,0.1,energy,gas,glass,1,0
procSugar,Eastern,2020,fixed,7364.007,1,29.456,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,fuel_oil,sugar,1,0
procMining,Eastern,2020,fixed,7364.007,1,29.456,1,0,1,300,0.3,2701.68,25,0.9,0.1,1,0.1,energy,fuel oil,minerals,1,0
