ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,AvailabiliyYear,InterestRate,Type,Fuel,EndUse,Agent2,Agent1
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,-,Retrofit,New
comBoilerHydrogen_solarT,Central,2020,fixed,13.1223926,1,1.31223926,1,0,1,142.904175,10,3524.262184,15,0.95,0.012686155,0.9,1,0.1,energy,hydrogen,hwater_com,1,0
comAC,Eastern,2020,fixed,3.469779901,1,0.173488995,1,0,1,2871.780953,10,63358.64329,15,1,0.00027648,0.555555556,1,0.1,energy,electricity,cool_com,1,0
comACHFC_HC,Eastern,2020,fixed,273.1197555,1,8.193592664,1,0,1,13159.92339,10,63358.64329,15,0.95,0.009340816,0.555555556,1,0.1,energy,electricity,cool_com,1,0
comACHFO_HC,Eastern,2020,fixed,300.431731,1,9.01295193,1,0,1,13159.92339,10,63358.64329,15,0.95,0.009340816,0.555555556,1,0.1,energy,electricity,cool_com,1,0
comAppliancesCon,Eastern,2020,fixed,1706.211665,1,3.534801843,1,0,1,3076.567553,10,67876.74588,10,1,3.71E-05,0.866222091,1,0.1,energy,electricity,appl_com,1,0
comBoilerBiomass,Eastern,2020,fixed,18.57107125,1,1.857107125,1,0,1,3076.567553,10,3524.262184,20,0.95,0.005680368,0.85,1,0.1,energy,biomass,hwater_com,1,0
comBoilerBiomass_HC,Eastern,2020,fixed,29.96016153,1,1.498008077,1,0,1,142.904175,10,3524.262184,20,0.95,0.055981031,0.85,1,0.1,energy,biomass,hwater_com,1,0
comBoilerBiomass_solarT,Eastern,2020,fixed,31.71589687,1,3.171589687,1,0,1,142.904175,10,3524.262184,20,0.95,0.007005787,0.85,1,0.1,energy,biomass,hwater_com,1,0
comBoilerElectric,Eastern,2020,fixed,6.919632026,1,0.691963203,1,0,1,142.904175,10,3524.262184,15,0.95,0.005680368,0.95,1,0.1,energy,electricity,hwater_com,1,0
comBoilerElectric_HC,Eastern,2020,fixed,7.161209342,1,0.358060467,1,0,1,142.904175,10,3524.262184,15,0.95,0.055981031,0.95,1,0.1,energy,electricity,hwater_com,1,0
comBoilerElectriciy_solarT,Eastern,2020,fixed,24.02619451,1,2.402619451,1,0,1,142.904175,10,3524.262184,15,0.95,0.007005787,0.95,1,0.1,energy,electricity,hwater_com,1,0
comBoilerNG,Eastern,2020,fixed,3.297001142,1,0.329700114,1,0,1,142.904175,10,3524.262184,15,0.95,0.011360736,0.9,1,0.1,energy,gas,hwater_com,1,0
comBoilerNG_HC,Eastern,2020,fixed,4.530561012,1,0.226528051,1,0,1,142.904175,10,3524.262184,15,0.95,0.055981031,0.9,1,0.1,energy,gas,hwater_com,1,0
