ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050
procCTL,BajaCalif,PJ/y,0,0,0,0,0,0,0
procBTL,BajaCalif,PJ/y,0,0,0,0,0,0,0
procBTLwCCS,BajaCalif,PJ/y,0,0,0,0,0,0,0
procElectrolysis,BajaCalif,PJ/y,0,0,0,0,0,0,0
procH2Biomass,BajaCalif,PJ/y,0,0,0,0,0,0,0
procH2BiomasswCCS,BajaCalif,PJ/y,0,0,0,0,0,0,0
procH2NGwCCS,BajaCalif,PJ/y,0,0,0,0,0,0,0
procH2NG,BajaCalif,PJ/y,0,0,0,0,0,0,0
procH2CoalwCCS,BajaCalif,PJ/y,0,0,0,0,0,0,0
procH2Coal,BajaCalif,PJ/y,0,0,0,0,0,0,0
procEthanolStarchCrops,BajaCalif,PJ/y,0,0,0,0,0,0,0
procEthanolSugarCrops,BajaCalif,PJ/y,0,0,0,0,0,0,0
procEthanolBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0
procEthanolBiomasswCCS,BajaCalif,PJ/y,0,0,0,0,0,0,0
procMethanolBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0
procMethanolBiomasswCCS,BajaCalif,PJ/y,0,0,0,0,0,0,0
procBiogasBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0
procBiogasLandfill,BajaCalif,PJ/y,0,0,0,0,0,0,0
procBiosyngasBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0
procPyrolysisUpgradeBiomass,BajaCalif,PJ/y,0,0,0,0,0,0,0
procBiodieselOil,BajaCalif,PJ/y,0,0,0,0,0,0,0
procBiodieselAlgae,BajaCalif,PJ/y,0,0,0,0,0,0,0
procRefineryOilA,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0
procGTL,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0
procCTLwCCS,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0
procCTL,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0
procBTL,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0
procBTLwCCS,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0
procElectrolysis,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0
procH2Biomass,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0
procH2BiomasswCCS,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0
procH2NGwCCS,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0
procH2NG,BajaCalifSouth,PJ/y,0,0,0,0,0,0,0
