year,dst_region,asset,region,technology,installed,capacity
2030,Western,95,Western,BIO,2020,7.39460000000
2030,Western,97,Western,CC_GAS,2020,203.35230000000
2030,Western,104,Western,GEOTH,2020,3.27970000000
2030,Western,105,Western,HYD_LS,2020,177.25940000000
2030,Western,107,Western,OC_GAS,2020,43.58840000000
2030,Western,108,Western,OC_OIL,2020,4.45480000000
2030,Western,109,Western,ON_WIND,2020,41.85330000000
2030,Western,110,Western,PV_GND,2020,143.01770000000
2030,Western,111,Western,PV_SSG,2020,48.69910000000
2030,Northwest,74,Northwest,CC_GAS,2020,275.60570000000
2030,Northwest,78,Northwest,HYD_LS,2020,38.72620000000
2030,Northwest,81,Northwest,OC_OIL,2020,2.97070000000
2030,Northwest,82,Northwest,ON_WIND,2020,0.12610000000
2030,Northwest,83,Northwest,PV_GND,2020,75.41140000000
2030,Northwest,84,Northwest,PV_SSG,2020,9.29660000000
2030,North,3,BajaCalif,OC_GAS,2025,199.31610000000
2030,North,49,North,BIO,2020,0.71590000000
2030,North,50,North,CC_GAS,2020,230.96150000000
2030,North,51,North,COAL,2020,4.09970000000
2030,North,54,North,C_H2,2025,1000.00000000000
2030,North,55,North,FC_H2,2020,584.92040000000
2030,North,56,North,FC_H2,2025,552.98570000000
2030,North,57,North,HYD_LS,2020,1.24440000000
2030,North,58,North,HYD_SS,2020,706.40640000000
2030,North,59,North,HYD_SS,2025,706.40640000000
2030,North,60,North,OC_GAS,2020,9.71810000000
2030,North,61,North,OC_OIL,2020,2.72160000000
2030,North,62,North,PV_GND,2020,47.42130000000
2030,North,63,North,PV_SSG,2020,11.45270000000
2030,North,68,Northeast,HYD_SS,2025,556.90430000000
2030,North,76,Northwest,CSP,2025,920.85120000000
2030,North,79,Northwest,HYD_SS,2025,556.95790000000
2030,North,98,Western,CC_GAS,2025,1000.00000000000
2030,North,101,Western,CSP,2025,21.59400000000
2030,North,106,Western,HYD_SS,2025,706.40640000000
2030,Northeast,64,Northeast,BIO,2020,3.05770000000
2030,Northeast,65,Northeast,CC_GAS,2020,666.29580000000
2030,Northeast,66,Northeast,COAL,2020,88.30080000000
2030,Northeast,67,Northeast,HYD_LS,2020,4.16280000000
2030,Northeast,69,Northeast,OC_GAS,2020,91.78810000000
2030,Northeast,70,Northeast,OC_OIL,2020,3.08360000000
2030,Northeast,71,Northeast,ON_WIND,2020,151.95310000000
2030,Northeast,72,Northeast,PV_GND,2020,53.09020000000
2030,Northeast,73,Northeast,PV_SSG,2020,20.95430000000
2030,BajaCalif,0,BajaCalif,CC_GAS,2020,167.14270000000
2030,BajaCalif,2,BajaCalif,OC_GAS,2020,16.81310000000
2030,BajaCalif,4,BajaCalif,OC_OIL,2020,0.80920000000
2030,BajaCalif,5,BajaCalif,ON_WIND,2020,12.36210000000
2030,BajaCalif,7,BajaCalif,PV_GND,2020,0.06560000000
2030,BajaCalif,8,BajaCalif,PV_SSG,2020,4.22580000000
2030,BajaCalifSouth,10,BajaCalifSouth,GEOTH,2020,0.63070000000
2030,BajaCalifSouth,11,BajaCalifSouth,OC_GAS,2020,2.90130000000
2030,BajaCalifSouth,13,BajaCalifSouth,OC_OIL,2020,35.56060000000
2030,BajaCalifSouth,16,BajaCalifSouth,PV_GND,2020,3.53010000000
2030,BajaCalifSouth,17,BajaCalifSouth,PV_SSG,2020,1.07200000000
2030,Peninsular,46,Eastern,ON_WIND,2025,1000.00000000000
2030,Peninsular,85,Peninsular,BIO,2020,2.13810000000
2030,Peninsular,86,Peninsular,CC_GAS,2020,122.87180000000
2030,Peninsular,87,Peninsular,CC_OIL,2020,4.62700000000
